date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.3,4.3,7.9,0,0,205,14.7,37.4,1002.4,
2024-01-02,5.2,3.1,9.3,20.9,0,153,14.7,42.1,995.7,
2024-01-03,8.6,7.1,9.6,4.5,0,227,19.4,60.1,985.9,
2024-01-04,2,-0.1,7.2,2.1,0,309,15,55.1,998.2,
2024-01-05,-0.1,-0.4,0.4,5.7,0,103,14.1,38.9,1003.8,
2024-01-06,-1.1,-2.5,-0.2,4.4,0,77,14,31.7,1011,
2024-01-07,-2.6,-3.7,-0.6,0.1,40,33,12.9,33.8,1025.3,
2024-01-08,-3.4,-8,-1.2,0,40,55,12.1,33.1,1034.7,
2024-01-09,-7.1,-10.2,-2.2,0,30,75,5.3,16.2,1038.2,
2024-01-10,-7.4,-9.9,-4.7,0,30,67,5.5,19.1,1034.7,
2024-01-11,-2.3,-6.2,0.4,0,30,293,7.1,25.9,1032.4,
2024-01-12,-0.9,-4.6,2.1,0.2,30,264,10.4,28.8,1029.2,
2024-01-13,2.6,1.8,4,2.2,20,263,17.6,50.4,1015.9,
2024-01-14,2.3,1.3,3.5,1.7,0,263,17.2,45.4,1002.8,
2024-01-15,0.7,-0.9,1.5,1.7,0,268,15.7,54.7,994.4,
2024-01-16,-0.5,-2.6,0.7,0,20,246,12.9,42.5,1004.2,
2024-01-17,-2.3,-3.3,-0.3,0,10,193,9.5,28.8,994.8,
2024-01-18,-2.4,-6.3,2,0.3,10,254,7.2,40.3,997.8,
2024-01-19,0,-2.5,2.3,0.9,10,247,18.9,49,1013.2,
2024-01-20,1.2,-0.2,3.4,0,10,236,18.1,45.4,1023.8,
2024-01-21,2.3,-0.9,4.9,0.5,0,186,17.5,42.1,1020.4,
2024-01-22,7.1,4.8,11.2,6.8,0,225,24.7,67.7,1005.8,
2024-01-23,6,3.9,7.9,5.1,0,243,21.2,53.6,1016.2,
2024-01-24,9.1,6.8,11.9,3.9,0,258,31.1,78.8,1010,
2024-01-25,6.2,3,7.8,0,0,270,18.4,65.9,1023.4,
2024-01-26,6.4,4.1,10,6.6,0,225,19.5,73.1,1020.1,
2024-01-27,4.6,1,8,0,0,254,13.4,44.3,1032.2,
2024-01-28,2.5,-1.5,7.9,0,0,162,10.2,28.4,1032.2,
2024-01-29,5.1,0.8,11.2,0,0,176,8.6,25.9,1027.3,
2024-01-30,7,3,10.5,0.1,0,191,10.6,45.4,1026.4,
2024-01-31,5.2,4.1,6.9,1.4,0,252,16.8,52.2,1028.6,
2024-02-01,5.6,4.1,7.7,0,0,270,19.4,50.8,1023.5,
2024-02-02,6.1,4,9.2,0.8,0,250,19.4,51.8,1023,
2024-02-03,9,6.3,10.3,1.1,0,272,22.8,52.6,1018.2,
2024-02-04,6.9,5.8,9.6,7.8,0,263,20.1,52.6,1015,
2024-02-05,8.7,7.9,9.6,1.2,0,269,28.8,67,1010.4,
2024-02-06,8.8,4.3,10.5,17.3,0,252,28,69.1,1002.7,
2024-02-07,3,-1.7,5.6,0,0,274,15.2,55.4,1002.2,
2024-02-08,0.8,-1.9,3.3,6.9,0,168,5.6,33.1,1001.6,
2024-02-09,2.2,0.2,6.6,6.7,10,124,13.8,40.7,990.1,
2024-02-10,7,5.3,10,0,0,113,7.9,25.9,990.3,
2024-02-11,4.9,4.6,5.3,5.8,0,80,8.2,28.8,991.7,
2024-02-12,6.2,3.2,9.5,0.3,0,266,9.4,30.2,1000.7,
2024-02-13,5.2,2.5,7.9,2.3,0,229,12.1,35.6,1015,
2024-02-14,7.6,3.8,10.6,4.3,0,199,12.4,34.9,1015,
2024-02-15,11.5,10.6,12.6,0.4,0,201,10.7,28.1,1015.3,
2024-02-16,11.9,9.6,15.8,0.2,0,209,15,45.4,1012.5,
2024-02-17,6.5,0.1,10.6,0,0,288,12.8,45,1027.5,
2024-02-18,5.9,1,8.7,15.7,0,166,11.1,32.4,1025.7,
2024-02-19,7.9,5.7,10.6,0.8,0,280,16.7,54.7,1019.4,
2024-02-20,7.7,6,9.3,0.3,0,262,15,44.3,1022.6,
2024-02-21,8.5,7.2,9.9,3.5,0,219,16.4,41.4,1013.3,
2024-02-22,9.2,6.8,11.7,2.1,0,183,15.6,50.4,990.6,
2024-02-23,6.9,4,9.8,0,0,207,19.7,76,991,
2024-02-24,4.6,1.2,9.8,0.9,0,173,10.2,29.2,1000.2,
2024-02-25,4.5,0.6,8.9,0,0,165,9.5,29.2,1004,
2024-02-26,3.1,-1.2,8.8,0,0,43,8.2,27.7,1008.3,
2024-02-27,3.5,2.5,5.3,0,0,22,8.2,24.5,1018.1,
2024-02-28,4.3,1.3,9.5,0,0,204,5.7,22.3,1020.8,
2024-02-29,5.9,0.8,12.5,0,0,161,12.1,36,1013.5,
2024-03-01,7.1,1.6,13.6,0,0,155,9.9,27.7,1005.2,
2024-03-02,9,6.5,13.1,0,0,140,9.4,24.8,1005.2,
2024-03-03,9,4.5,14.6,0,0,99,9.5,27,1005,
2024-03-04,8.6,4.8,14.5,0,0,67,7.1,30.6,1010.1,
2024-03-05,4.5,-0.5,9.1,0,0,71,12.9,36,1016.8,
2024-03-06,2.5,-1,8.3,0,0,75,7.8,21.6,1024.7,
2024-03-07,3.5,0.1,7.7,0,0,62,9.3,26.6,1027.1,
2024-03-08,3.1,-2.3,8.8,0,0,93,12,33.1,1020.2,
2024-03-09,4.4,-0.3,10.3,0,0,99,12.9,38.2,1009.5,
2024-03-10,7.1,1.7,12,0,0,85,14.3,37.8,1003.4,
2024-03-11,8.8,7.1,12.4,0,0,102,10.4,32.8,1002.9,
2024-03-12,7.7,3.1,10.6,0,0,204,6.3,27.4,1012.5,
2024-03-13,7.7,1.5,12.3,0.9,0,189,9,28.4,1015,
2024-03-14,12.1,9.5,17.1,0,0,196,9.9,31.7,1012,
2024-03-15,11.7,9.3,15.7,2.9,0,203,10.8,35.6,1007,
2024-03-16,8.2,2.4,11,2.1,0,267,16.7,51.1,1014.1,
2024-03-17,4.5,-1,10.3,0,0,322,6.6,27.4,1023.6,
2024-03-18,5.1,1.1,9.8,0,0,124,13.1,31,1019.9,
2024-03-19,7,1.3,12.4,0,0,146,11.8,33.1,1020.3,
2024-03-20,11.1,7,17.1,4.3,0,182,4.4,15.8,1019.5,
2024-03-21,8.9,6,11,0.1,0,264,10,44.3,1019.8,
2024-03-22,8.9,6.6,11.1,2.1,0,245,12.7,38.5,1014,
2024-03-23,5.5,2.2,10.9,4.5,0,256,11.1,56.2,1005.2,
2024-03-24,5,2.4,8.2,2.8,0,232,15.6,43.9,998.2,
2024-03-25,5.7,1.9,10.1,0.4,0,272,10.8,46.4,1003.8,
2024-03-26,6.7,0.9,10.8,0,0,126,11.4,38.9,997.7,
2024-03-27,10.3,4.3,18,2.1,0,123,7,22,987.6,
2024-03-28,7.6,5.6,13,7.2,0,238,13.6,56.9,986.7,
2024-03-29,8.8,4.8,13.3,1.2,0,176,12.3,36.7,996.6,
2024-03-30,13.2,8.1,18.9,0,0,128,8.4,34.2,998.2,
2024-03-31,9.8,7.6,13.7,0,0,338,8.4,26.6,999.2,
2024-04-01,8.4,5.4,10.5,15.2,0,90,10.3,51.5,994.8,
2024-04-02,10.1,7.9,13.5,5.1,0,248,19.6,47.9,1001.7,
2024-04-03,9,6.3,11.3,5.8,0,127,9.6,33.8,1005.8,
