Camera,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
Camera 1,2022-06-17T12:39:16+01:00,2022-06-17T12:40:17+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Elias Sari Effenberg,2025-01-09T16:38:27Z,1.0,,
Camera 1,2022-06-18T22:49:28+01:00,2022-06-18T22:49:28+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Elias Sari Effenberg,2025-01-09T16:40:24Z,1.0,,
Camera 1,2022-06-24T02:28:25+01:00,2022-06-24T02:28:25+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T11:16:29Z,1.0,,
Camera 1,2022-06-27T13:27:23+01:00,2022-06-27T13:27:23+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:05:24Z,0.73,,
Camera 1,2022-06-29T18:12:29+01:00,2022-06-29T18:12:59+01:00,event,animal,,Turdus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:29:09Z,0.73,,
Camera 1,2022-07-03T06:25:14+01:00,2022-07-03T06:25:14+01:00,event,animal,,Buteo buteo,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:29:31Z,0.7,,
Camera 1,2022-07-10T16:37:42+01:00,2022-07-10T16:37:42+01:00,event,animal,,Corvus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T12:14:18Z,1.0,,
Camera 1,2022-07-12T23:45:21+01:00,2022-07-12T23:45:21+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:56:15Z,0.81,,
Camera 1,2022-07-13T03:10:54+01:00,2022-07-13T03:10:54+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T12:53:43Z,1.0,,
Camera 1,2022-07-15T00:47:51+01:00,2022-07-15T00:47:51+01:00,event,animal,,Ovis ammon,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:47:39Z,0.77,,
Camera 1,2022-07-17T16:28:36+01:00,2022-07-17T16:29:12+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:19:21Z,0.82,,
Camera 1,2022-07-19T01:42:45+01:00,2022-07-19T01:43:16+01:00,event,animal,,Cervus elaphus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:49:18Z,0.79,,
Camera 1,2022-07-19T03:07:28+01:00,2022-07-19T03:07:28+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:20:49Z,1.0,,
Camera 1,2022-07-22T11:49:26+01:00,2022-07-22T11:52:15+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:49:33Z,0.77,,
Camera 1,2022-07-22T17:28:08+01:00,2022-07-22T17:28:08+01:00,event,animal,,Ardea cinerea,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:39:07Z,0.82,,
Camera 1,2022-07-26T23:40:40+01:00,2022-07-26T23:40:40+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:24:27Z,1.0,,
Camera 1,2022-07-30T00:45:21+01:00,2022-07-30T00:45:21+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:26:04Z,1.0,,
Camera 1,2022-07-31T05:27:17+01:00,2022-07-31T05:27:17+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:27:17Z,1.0,,
Camera 1,2022-08-06T23:41:48+01:00,2022-08-06T23:41:48+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:23:06Z,0.89,,
Camera 1,2022-08-14T01:33:47+01:00,2022-08-14T01:33:47+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:40:20Z,0.78,,
Camera 1,2022-08-24T03:35:47+01:00,2022-08-24T03:35:47+01:00,event,animal,,Ovis ammon,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:14:27Z,0.77,,
Camera 1,2022-11-15T14:50:59+01:00,2022-11-15T14:50:59+01:00,event,animal,,Corvus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:28:52Z,1.0,,
Camera 1,2022-11-19T15:18:57+01:00,2022-11-19T15:18:57+01:00,event,animal,,Parus major,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:32:30Z,1.0,,
Camera 1,2023-05-27T07:52:10+01:00,2023-05-27T07:52:10+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:36:33Z,1.0,,
Camera 1,2023-06-04T00:31:47+01:00,2023-06-04T00:33:40+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:18:49Z,0.73,,
Camera 1,2023-06-14T01:11:44+01:00,2023-06-14T01:11:44+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:37:56Z,1.0,,
Camera 1,2023-06-15T03:49:37+01:00,2023-06-15T03:49:37+01:00,event,animal,,Felis catus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:38:35Z,1.0,,
Camera 1,2023-07-02T13:38:19+01:00,2023-07-02T13:41:43+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T17:13:35Z,0.88,,
Camera 1,2023-07-06T04:50:35+01:00,2023-07-06T04:50:35+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:39:11Z,1.0,,
Camera 1,2023-07-06T05:02:17+01:00,2023-07-06T05:02:17+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:20:23Z,0.8,,
Camera 1,2023-07-06T20:07:34+01:00,2023-07-06T20:09:20+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:27:26Z,0.76,,
Camera 1,2023-07-11T00:38:47+01:00,2023-07-11T00:38:47+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:40:43Z,1.0,,
Camera 1,2023-07-15T05:09:36+01:00,2023-07-15T05:09:36+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:13:53Z,0.75,,
Camera 1,2023-07-24T05:43:32+01:00,2023-07-24T05:44:14+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:28:16Z,0.79,,
Camera 1,2023-08-04T22:31:18+01:00,2023-08-04T22:31:52+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-10T14:41:03Z,1.0,,
Camera 1,2023-08-19T15:41:08+01:00,2023-08-19T15:41:08+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:20:38Z,0.83,,
Camera 1,2023-08-19T15:52:24+01:00,2023-08-19T15:55:16+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:29:06Z,0.84,,
Camera 1,2023-08-19T17:14:20+01:00,2023-08-19T17:14:20+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:31:52Z,0.83,,
Camera 1,2023-08-19T17:53:39+01:00,2023-08-19T17:56:28+01:00,event,animal,,Canis lupus familiaris,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:25:44Z,0.82,,
Camera 1,2023-08-31T20:40:04+01:00,2023-08-31T20:40:04+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:08:12Z,1.0,,
Camera 1,2023-10-14T21:06:10+01:00,2023-10-14T21:06:10+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:08:21Z,1.0,,
Camera 1,2023-10-14T22:08:04+01:00,2023-10-14T22:09:07+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:26:15Z,0.73,,
Camera 1,2023-11-28T17:21:29+01:00,2023-11-28T17:21:29+01:00,event,animal,,Felis catus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:08:49Z,1.0,,
Camera 1,2023-12-05T03:31:08+01:00,2023-12-05T03:31:08+01:00,event,animal,,Muntiacus reevesi,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:39:49Z,0.75,,
Camera 1,2023-12-14T18:08:02+01:00,2023-12-14T18:08:02+01:00,event,animal,,Felis catus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:09:00Z,1.0,,
Camera 1,2023-12-16T18:13:21+01:00,2023-12-16T18:13:21+01:00,event,animal,,Felis catus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:09:19Z,1.0,,
Camera 1,2023-12-27T17:43:22+01:00,2023-12-27T17:43:22+01:00,event,animal,,Felis catus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:09:29Z,1.0,,
Camera 1,2024-01-14T22:51:53+01:00,2024-01-14T22:51:53+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:09:49Z,1.0,,
Camera 1,2024-02-27T04:22:45+01:00,2024-02-27T04:22:45+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:10:53Z,1.0,,
Camera 1,2024-03-18T06:33:54+01:00,2024-03-18T06:33:54+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:11:01Z,1.0,,
Camera 1,2024-03-18T07:18:57+01:00,2024-03-18T07:18:57+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T17:56:09Z,0.83,,
Camera 1,2024-03-19T00:57:58+01:00,2024-03-19T00:57:58+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T17:55:58Z,0.9,,
Camera 1,2024-03-19T03:50:07+01:00,2024-03-19T03:50:07+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:11:10Z,1.0,,
Camera 1,2024-03-20T23:37:59+01:00,2024-03-20T23:37:59+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T19:56:18Z,0.87,,
Camera 1,2024-03-22T03:46:38+01:00,2024-03-22T03:46:38+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T18:50:21Z,0.91,,
Camera 1,2024-03-27T04:23:28+01:00,2024-03-27T04:23:28+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:11:18Z,1.0,,
Camera 1,2024-04-02T03:09:32+01:00,2024-04-02T03:09:32+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:11:32Z,1.0,,
Camera 1,2024-04-09T23:59:05+01:00,2024-04-09T23:59:05+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:11:41Z,1.0,,
Camera 1,2024-04-10T00:31:32+01:00,2024-04-10T00:32:26+01:00,event,animal,,Lepus europaeus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:27:15Z,0.83,,
Camera 1,2024-04-10T07:21:22+01:00,2024-04-10T07:21:22+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T17:43:51Z,0.91,,
Camera 1,2024-04-10T07:29:01+01:00,2024-04-10T07:29:01+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T21:48:10Z,0.91,,
Camera 1,2024-05-03T01:21:43+01:00,2024-05-03T01:21:43+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:13:35Z,1.0,,
Camera 1,2024-05-04T00:23:06+01:00,2024-05-04T00:23:06+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:14:01Z,1.0,,
Camera 1,2024-05-07T07:41:57+01:00,2024-05-07T07:41:57+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:14:10Z,1.0,,
Camera 1,2024-05-16T01:49:51+01:00,2024-05-16T01:49:51+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:14:28Z,1.0,,
Camera 1,2024-05-23T00:04:05+01:00,2024-05-23T00:04:05+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:14:48Z,1.0,,
Camera 1,2024-06-20T09:21:41+01:00,2024-06-20T09:21:41+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:15:09Z,1.0,,
Camera 1,2024-06-20T10:32:52+01:00,2024-06-20T10:32:52+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:15:18Z,1.0,,
Camera 1,2024-06-22T06:06:03+01:00,2024-06-22T06:06:03+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,machine,Western Europe v3,2025-01-09T20:14:18Z,0.86,,
Camera 1,2024-06-22T06:08:23+01:00,2024-06-22T06:08:23+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:16:14Z,1.0,,
Camera 1,2024-06-22T08:16:32+01:00,2024-06-22T08:16:32+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:16:22Z,1.0,,
Camera 1,2024-06-22T08:28:42+01:00,2024-06-22T08:28:42+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-01-11T11:16:29Z,1.0,,
Camera 3,2023-11-29T17:10:23+01:00,2023-11-29T17:10:23+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:29:33Z,1.0,,
Camera 3,2023-12-11T18:33:21+01:00,2023-12-11T18:33:21+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:29:50Z,1.0,,
Camera 3,2023-12-29T07:01:48+01:00,2023-12-29T07:02:15+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:29:55Z,1.0,,
Camera 3,2024-01-02T12:21:18+01:00,2024-01-02T12:21:18+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:30:21Z,1.0,,
Camera 3,2024-01-03T21:15:38+01:00,2024-01-03T21:15:38+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:30:25Z,1.0,,
Camera 3,2024-01-04T09:40:08+01:00,2024-01-04T09:40:08+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:30:29Z,1.0,,
Camera 3,2024-02-11T16:37:29+01:00,2024-02-11T16:37:29+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:32:00Z,1.0,,
Camera 3,2024-03-23T22:20:46+01:00,2024-03-23T22:20:46+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:33:09Z,1.0,,
Camera 3,2024-03-27T13:50:19+01:00,2024-03-27T13:50:19+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:33:46Z,1.0,,
Camera 3,2024-04-01T19:50:44+01:00,2024-04-01T19:50:44+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:33:42Z,1.0,,
Camera 3,2024-04-09T03:16:38+01:00,2024-04-09T03:16:38+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:34:09Z,1.0,,
Camera 3,2024-04-12T13:21:14+01:00,2024-04-12T13:21:43+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:34:22Z,1.0,,
Camera 3,2024-04-12T15:46:29+01:00,2024-04-12T15:46:29+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:34:39Z,1.0,,
Camera 3,2024-04-16T22:21:51+01:00,2024-04-16T22:21:51+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:35:01Z,1.0,,
Camera 3,2024-04-16T22:43:42+01:00,2024-04-16T22:43:42+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:35:15Z,1.0,,
Camera 3,2024-04-16T22:51:11+01:00,2024-04-16T22:51:11+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:35:26Z,1.0,,
Camera 3,2024-04-22T16:46:47+01:00,2024-04-22T16:46:47+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:35:51Z,1.0,,
Camera 3,2024-04-28T19:16:06+01:00,2024-04-28T19:16:06+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:36:03Z,1.0,,
Camera 3,2024-05-08T16:49:04+01:00,2024-05-08T16:49:04+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:36:40Z,1.0,,
Camera 3,2024-05-08T16:51:59+01:00,2024-05-08T16:51:59+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:36:51Z,1.0,,
Camera 3,2024-05-08T16:59:57+01:00,2024-05-08T17:02:26+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:37:05Z,1.0,,
Camera 3,2024-05-08T17:05:48+01:00,2024-05-08T17:07:29+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:37:25Z,1.0,,
Camera 3,2024-05-08T17:10:15+01:00,2024-05-08T17:12:14+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:37:42Z,1.0,,
Camera 3,2024-05-08T17:18:41+01:00,2024-05-08T17:20:24+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:38:06Z,1.0,,
Camera 3,2024-05-08T17:43:26+01:00,2024-05-08T17:43:26+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:38:58Z,1.0,,
Camera 3,2024-05-08T17:49:38+01:00,2024-05-08T17:50:19+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:43:21Z,1.0,,
Camera 3,2024-05-08T18:08:09+01:00,2024-05-08T18:08:09+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:43:33Z,1.0,,
Camera 3,2024-05-08T19:09:28+01:00,2024-05-08T19:09:28+01:00,event,animal,,Capreolus capreolus,1.0,,,,,,,,,,,,human,Max Philipp Dannnenbaum,2025-02-25T11:45:33Z,1.0,,
